id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6899995,Come to Know New York I,25812962,Claudio & Rose,Manhattan,East Harlem,40.78968,-73.94202,Private room,80,1,39,2019-06-10,0.82,3,306
6900168,Wanderlust. A perfect private space to unwind.,2831384,Mustafa,Queens,Woodside,40.74198,-73.89558,Entire home/apt,125,1,262,2019-07-06,5.37,1,246
6901401,Spacious Contemporary Living,36164182,Glender,Brooklyn,Bushwick,40.69712,-73.93325,Entire home/apt,155,2,114,2019-06-30,2.86,3,250
6901484,Williamsburg - Berry and N 9th,36166165,Johnathon,Brooklyn,Williamsburg,40.71909,-73.95811,Private room,62,1,1,2017-09-17,0.05,1,0
6901734,Spacious Apt Near Central Park,36167966,Justin,Manhattan,Harlem,40.80054,-73.95497,Entire home/apt,93,12,5,2017-06-29,0.14,1,0
6901856,Spacious Modern Contemp Living 2,36164182,Glender,Brooklyn,Bushwick,40.69768,-73.93359,Private room,80,2,51,2019-05-11,1.04,3,249
6902147,Studio Apartment in Crown Heights,88032,Timothy,Brooklyn,Crown Heights,40.67659,-73.95417,Entire home/apt,65,7,0,,,1,0
6902855,Loft-like Apt on the Park / 18 min to Manhattan,36176332,Marcel,Brooklyn,Flatbush,40.65146,-73.96634,Entire home/apt,120,5,19,2016-07-25,0.39,1,1
6908140,Lovely Brick Townhouse,21705530,Jessica,Brooklyn,Clinton Hill,40.69439,-73.96898,Entire home/apt,450,7,1,2017-07-12,0.04,1,0
6908209,PrimChelsea~1BR~Sleeps4~hugeOutdoor,2119276,Host,Manhattan,Chelsea,40.74138,-74.00072,Entire home/apt,155,30,6,2019-03-30,0.13,39,289
6908837,**Caribbean Blue- 8 mins to JFK **,36205028,Mrs. T,Queens,Jamaica,40.68637,-73.79214,Private room,53,1,189,2019-06-21,3.90,2,348
6909447,Cozy & perfectly located Studio,36207962,Ariel,Manhattan,Upper West Side,40.78267,-73.97661,Entire home/apt,150,3,13,2015-11-28,0.26,1,0
6909615,Nifty room near Express A train!,36208205,Jakob,Manhattan,Washington Heights,40.84666,-73.9379,Private room,45,1,1,2015-08-25,0.02,1,0
6910072,Sunny Room in Bushwick & central AC,36211685,Vienna,Queens,Ridgewood,40.70588,-73.91464,Private room,85,1,1,2015-08-17,0.02,1,0
6911965,Private Bedroom on Prospect Park,1106323,Sebastian,Brooklyn,Windsor Terrace,40.66036,-73.98214,Private room,59,1,1,2016-04-25,0.03,2,0
6912211,Retreat Near Manhattan,21183428,Jae (Owen's Wife),Brooklyn,Bedford-Stuyvesant,40.68402,-73.95573,Entire home/apt,122,3,101,2019-05-09,2.08,2,293
6913023,A Hideaway Room,36227371,Brittney,Brooklyn,Bushwick,40.70035,-73.92316,Private room,75,1,0,,,1,0
6913240,Bedroom + Study with private bath,15792771,Wenxin,Queens,Rego Park,40.72597,-73.86131,Private room,80,4,2,2015-09-15,0.04,1,0
6913431,Garden Level Nest in Brooklyn,36229779,Juliana,Brooklyn,Bedford-Stuyvesant,40.68512,-73.95767,Entire home/apt,105,1,9,2015-08-09,0.18,1,0
6913773,"Home 4 Medical Professionals - The ""Delirium""",26377263,Stat,Brooklyn,Bushwick,40.70376,-73.91765,Private room,47,30,3,2019-02-02,0.07,43,144
6913795,Nevena's,10716661,Dimitrios,Queens,Ditmars Steinway,40.77228,-73.91345,Entire home/apt,75,3,2,2016-01-31,0.04,1,0
6913969,"Home 4 Medical Professionals - The ""Necrosis""",26377263,Stat,Brooklyn,Bushwick,40.70393,-73.91679,Private room,47,30,3,2018-08-18,0.06,43,259
6914268,Room in apartment,36166297,Tejal,Manhattan,Stuyvesant Town,40.7339,-73.97743,Private room,45,1,0,,,1,0
6914516,Large Bedroom with Private Terrace,36237566,Nora,Manhattan,East Village,40.72714,-73.97894,Private room,100,1,1,2015-11-18,0.02,1,0
6915467,clean room close to subway station,27962518,Xiangyu,Queens,Elmhurst,40.73713,-73.8741,Private room,85,1,1,2015-07-02,0.02,2,0
6919797,1BR TSquare with Terrace and View,4112404,Vero,Manhattan,Hell's Kitchen,40.76441,-73.99245,Entire home/apt,269,7,31,2018-06-23,0.66,3,11
6919971,Studio Apartment on Upper West Side,36268893,Brittany Nicole,Manhattan,Upper West Side,40.80108,-73.9705,Entire home/apt,70,1,1,2016-07-18,0.03,1,0
6921004,Stunning room factory building apt,1544412,Carlota,Brooklyn,Williamsburg,40.71761,-73.9641,Private room,90,5,18,2019-05-30,0.40,1,37
6921831,Home Sweet Harlem,36279488,Brian,Manhattan,Harlem,40.8122,-73.95246,Private room,172,3,8,2017-10-30,0.17,1,0
6921974,Williamsburg Studio,35921273,Andrew,Brooklyn,Williamsburg,40.7173,-73.9532,Entire home/apt,160,1,1,2015-07-14,0.02,1,0
6921984,The Perfect West Village Stay!,619693,Nick,Manhattan,West Village,40.73323,-74.00434,Entire home/apt,198,2,3,2016-10-22,0.07,1,0
6922490,Perfect Location! Large One Bedroom,742729,Michael,Manhattan,East Village,40.72691,-73.98534,Entire home/apt,154,2,37,2019-06-18,0.81,1,0
6922505,Large 2 Bedrooms Apt. in Greenpoint/Williamsburg,12738054,Aude,Brooklyn,Greenpoint,40.72532,-73.95338,Entire home/apt,230,2,6,2019-06-04,0.13,2,272
6922758,Scandi Apartment w/ Roofdeck & Manhattan Views,896708,Kat,Brooklyn,Cobble Hill,40.68391,-73.99583,Entire home/apt,285,5,4,2019-03-17,0.36,2,19
6923000,Williamsburg Luxury Apartment,1164568,Emilie,Brooklyn,Williamsburg,40.71199,-73.96022,Entire home/apt,180,3,3,2016-08-25,0.06,1,0
6923161,Cozy room just off Central Park,36285615,Selim,Manhattan,Harlem,40.80152,-73.9509,Private room,90,2,12,2016-07-05,0.24,1,0
6924363,Private bedroom in NYC,12072392,Valerie,Manhattan,Harlem,40.80286,-73.94997,Private room,120,1,0,,,1,0
6924400,West Village Apartment With Character,32767789,Josh,Manhattan,Greenwich Village,40.73256,-74.00008,Private room,60,14,0,,,1,0
6924793,Private Apt. Downtown LES. 2 blocks from subway.,4019055,Katherine,Manhattan,Lower East Side,40.7179,-73.98477,Entire home/apt,99,2,57,2019-01-28,1.17,1,0
6924942,Perfect Spot while visiting NYC,1325961,Chris,Manhattan,East Harlem,40.79721,-73.94328,Entire home/apt,111,3,6,2017-08-25,0.13,2,0
6925777,Lofty/Sunny Private Rm in Bushwick!,26330490,Sandy,Brooklyn,Bushwick,40.70479,-73.92316,Private room,40,7,5,2016-08-09,0.11,1,0
6926449,Lovely room off Prospect Park,36308476,Erica,Brooklyn,Flatbush,40.64924,-73.96714,Private room,35,4,2,2016-08-21,0.06,1,157
6926686,CLEAN and COMFY room avail in SoHo!,4667102,Alexia,Manhattan,Little Italy,40.7185,-73.99805,Private room,95,5,1,2015-08-24,0.02,1,0
6927027,Charming & private room in W'burg,503555,Phyl,Brooklyn,Williamsburg,40.71488,-73.96148,Private room,89,8,2,2015-12-13,0.04,3,0
6929738,CLOSE TO EAST SIDE HOSPITALS- Modern 2 Bedroom Apt,25237492,Juliana,Manhattan,Upper East Side,40.76044,-73.96068,Entire home/apt,195,30,7,2018-10-30,0.20,34,304
6930780,Beautiful Sunny Top Floor 1BD Flat,36333834,Paul,Brooklyn,Bedford-Stuyvesant,40.68378,-73.93573,Entire home/apt,139,4,152,2019-06-13,3.26,1,281
6933326,STUNNING NYC ROOM RIVER VIEW/LIGHT!,25168888,Svjetlana,Manhattan,Harlem,40.82231,-73.95626,Private room,75,3,14,2019-01-02,0.29,3,20
6933582,Cozy home in the heart of Astoria,35914251,Loren,Queens,Astoria,40.76371,-73.92049,Entire home/apt,100,4,2,2015-12-31,0.04,1,0
6934249,"Location, light, and charm",24465231,Gael,Brooklyn,Greenpoint,40.72464,-73.9533,Entire home/apt,149,7,7,2018-07-01,0.15,1,0
6934770,Cozy and Large 1 bedroom Apartment,36356923,Ali,Queens,Astoria,40.76348,-73.91995,Private room,55,1,0,,,1,0
6936794,Modern 3 Beds in Gorgeous Building,12028820,Kim,Manhattan,Upper East Side,40.76348,-73.95884,Entire home/apt,900,7,28,2019-05-05,0.58,1,340
6936903,Williamsburg Oasis w/ Private Yard!,36369314,Rinat,Brooklyn,Williamsburg,40.71616,-73.94352,Entire home/apt,199,7,3,2016-08-07,0.06,1,0
6937480,BUSHWICK Beaut! Private bed & bath,36373090,Erika,Brooklyn,Bushwick,40.70043,-73.92167,Private room,70,5,1,2015-08-19,0.02,1,0
6937871,Large Private Room on Prospect Park,1106323,Sebastian,Brooklyn,Windsor Terrace,40.66036,-73.98244,Private room,65,3,0,,,2,0
6937897,Tasteful Duplex in Gramercy Park,36375657,John,Manhattan,Kips Bay,40.73873,-73.98153,Shared room,800,30,1,2015-09-14,0.02,1,0
6938378,Big Sunny room in NYC (M5),5164854,Lilia,Manhattan,Harlem,40.81961,-73.93937,Private room,43,6,6,2017-12-18,0.12,8,324
6938827,Prime apartment in prime Park Slope location!,36381094,Gidon,Brooklyn,Park Slope,40.67177,-73.97882,Entire home/apt,229,3,22,2018-12-26,0.46,1,0
6939024,Chic 1 BR in East Village,34930811,Paloma,Manhattan,East Village,40.72517,-73.98742,Entire home/apt,195,1,15,2015-12-06,0.31,1,0
6939175,Beautiful Greenpoint Apartment,2419331,Ameira,Brooklyn,Greenpoint,40.73407,-73.95314,Entire home/apt,150,14,3,2016-04-18,0.06,1,0
6939597,Full garden apartment in Brownstone,2723812,Libertad,Bronx,Mott Haven,40.80993,-73.92613,Entire home/apt,100,2,57,2019-06-23,1.17,2,284
6939638,Heart of Tribeca next to everything,36307255,Josh,Manhattan,Tribeca,40.715,-74.0094,Entire home/apt,700,1,8,2016-01-03,0.16,1,0
6939668,Lovely 1BR on the Upper West Side,36387290,Megan,Manhattan,Upper West Side,40.78147,-73.97806,Entire home/apt,150,1,0,,,1,0
6939719,Bright and Spacious Two Room Studio in Midtown!!!,36006178,Eric,Manhattan,Hell's Kitchen,40.76497,-73.98848,Entire home/apt,300,7,8,2018-10-08,0.21,1,0
6939758,Mid-century Apt. Next To Subway,3266476,Jack,Manhattan,Kips Bay,40.74206,-73.98014,Private room,100,5,11,2018-05-31,0.23,1,0
6939859,"Nice room, very close to the subway",36388501,Loralee,Brooklyn,Williamsburg,40.70658,-73.93801,Private room,50,3,5,2015-09-16,0.10,1,0
6940108,Classic Upper East Side 1 Bed (king bed) Apt,13031379,Esther,Manhattan,Upper East Side,40.77252,-73.9556,Entire home/apt,140,2,57,2019-06-16,1.18,1,0
6941601,Manhattan Club,36400642,Abdul Rahman,Manhattan,Midtown,40.76448,-73.98187,Entire home/apt,175,7,0,,,1,0
6942211,Sunny UWS Apt Steps to Central Park,10124757,Ning,Manhattan,Upper West Side,40.78905,-73.96748,Entire home/apt,185,8,3,2016-01-03,0.06,1,0
6944665,Gorgeous room!! Open for summer!,36413917,Kory,Brooklyn,Williamsburg,40.70703,-73.95234,Private room,73,14,0,,,1,0
6946479,Lovely 3 Story Cottage in Park Slope,204472,Raul,Brooklyn,South Slope,40.66672,-73.98462,Entire home/apt,250,3,2,2016-08-28,0.04,1,0
6947017,Private room. Amazing location!,35968845,Andre,Manhattan,Upper West Side,40.79421,-73.97097,Private room,89,3,1,2015-07-26,0.02,2,0
6947196,5th ave Flatiron Loft,36425465,Eli,Manhattan,Chelsea,40.73857,-73.99256,Entire home/apt,800,15,0,,,1,0
6947477,Private room. Amazing location!,35968845,Andre,Manhattan,Upper West Side,40.79265,-73.97108,Private room,89,1,1,2015-07-19,0.02,2,0
6948161,Awesome Studio in Chelsea,24806455,Julian,Manhattan,Chelsea,40.74815,-73.99417,Entire home/apt,250,1,0,,,1,0
6948441,Cozy 2BR at Chelsea with Balcony,2176547,Amy,Manhattan,Chelsea,40.74723,-73.9916,Entire home/apt,220,31,4,2019-05-27,0.12,1,54
6949104,"Chelsea Flat-Gorgeous, Bright, Safe",6884282,Matthew,Manhattan,Chelsea,40.74682,-74.00417,Private room,135,5,1,2015-08-09,0.02,1,0
6949526,"Brooklyn's heart,
 Ft Greene! 1day free bicycle",36434721,Gabriel,Brooklyn,Fort Greene,40.68503,-73.9742,Entire home/apt,160,1,70,2019-06-30,1.43,1,356
6949554,Clean bedroom with private bathroom,10609847,Kristie,Brooklyn,Williamsburg,40.70781,-73.95553,Private room,93,3,0,,,1,0
6950074,"Beautiful, Cozy Apartment",6434434,Jenna,Queens,Ditmars Steinway,40.7789,-73.90688,Entire home/apt,110,2,14,2017-12-10,0.29,1,0
6950477,Cozy Studio in Historic Brownstone,7253422,Nate',Manhattan,Harlem,40.82599,-73.94545,Entire home/apt,76,1,3,2015-08-22,0.06,1,0
6950807,Spacious 1bdrm in Long Island City,36441990,Samir,Queens,Astoria,40.75671,-73.91749,Entire home/apt,105,1,5,2016-08-13,0.10,1,0
6952302,2BR- Downtown Brooklyn,31883140,Fabiana,Brooklyn,Fort Greene,40.69173,-73.97756,Entire home/apt,120,4,1,2016-07-04,0.03,1,0
6953013,One bedroom apt in East Harlem,36453453,Khaled,Manhattan,East Harlem,40.79063,-73.94718,Entire home/apt,110,5,3,2017-07-24,0.06,1,0
6954288,Cozy and Chic 1 Bedroom!!,14379468,Pamela,Manhattan,Harlem,40.81254,-73.94118,Entire home/apt,125,1,4,2016-11-20,0.09,1,0
6955143,Large Sunny Private Bedroom,16533401,Aaron,Brooklyn,Gowanus,40.67781,-73.9851,Private room,130,1,0,,,1,0
6955782,The Sweet Spot!,21976382,Emily,Brooklyn,Boerum Hill,40.68564,-73.98408,Entire home/apt,105,14,48,2019-05-23,1.02,1,74
6956358,Spacious & happy gem in LES!,7013442,Rafael,Manhattan,Lower East Side,40.71996,-73.98729,Private room,100,3,2,2015-08-30,0.04,1,0
6956731,New! Beautifully Designed & Modern,13347167,AFI Apartments,Manhattan,Upper East Side,40.77566,-73.95335,Entire home/apt,118,30,4,2019-03-31,0.09,29,258
6956956,SPACIOUS Room Near Manhattan!,18091740,Brittany,Brooklyn,Williamsburg,40.70198,-73.947,Private room,70,4,1,2016-12-08,0.03,1,0
6957168,Charming Carroll Gardens 2 bed apt,22346913,Gideon,Brooklyn,Carroll Gardens,40.68153,-74.0016,Entire home/apt,220,2,118,2019-06-19,2.51,1,277
6957272,"Beautiful, spacious & sunny 1BR",15647782,Reinier,Manhattan,Upper West Side,40.80271,-73.96853,Entire home/apt,155,4,10,2017-05-12,0.21,1,0
6957328,Williamsburg❤️Central Location Queen Bed A/C,330976,Daniel,Brooklyn,Williamsburg,40.70875,-73.95364,Private room,85,1,20,2018-07-27,0.42,1,0
6958652,Brooklyn Room Available [furnished],33069475,Sean,Brooklyn,Bedford-Stuyvesant,40.68928,-73.93153,Private room,40,20,42,2019-06-09,1.12,2,257
6958924,Upper WestSide NYC Central Park II,36489857,Janice,Manhattan,Upper West Side,40.78768,-73.97238,Entire home/apt,85,3,29,2018-12-30,0.75,1,309
6959212,A Well Equipped Studio,28601986,Isiah,Manhattan,East Harlem,40.79952,-73.93502,Entire home/apt,84,3,10,2019-01-02,0.21,1,0
6965441,1 Bedroom on Tree Lined Street in Chelsea,19228782,Ben,Manhattan,Chelsea,40.74438,-74.00178,Entire home/apt,150,3,2,2016-06-14,0.05,1,1
6965529,Big comfy space close to Yankees.,2001830,Jose And Ysaira,Bronx,Morris Heights,40.85073,-73.9128,Private room,50,3,20,2019-04-22,0.47,2,316
6966936,Single Family Bushwick Oasis,36208562,Rebecca & Warren,Brooklyn,Bushwick,40.69847,-73.92787,Entire home/apt,250,2,23,2016-10-29,0.49,1,0
6966985,Large Room in Central Apt,2714997,Shirly,Manhattan,Upper West Side,40.801,-73.96647,Private room,70,30,76,2018-07-11,1.57,1,0
6967201,Huge Room on Central Park,36530547,Tj,Manhattan,Upper West Side,40.79126,-73.96738,Private room,110,1,0,,,1,0
6967305,Prospect Heights garden apartment,36531150,Stephanie,Brooklyn,Prospect Heights,40.67886,-73.96802,Entire home/apt,164,1,2,2015-08-16,0.04,1,0
6967861,A huge apartment near Manhattan,36534042,Rabie,Brooklyn,Fort Hamilton,40.62084,-74.03739,Entire home/apt,120,7,1,2015-08-01,0.02,1,0
6968488,One bedroom in Brooklyn-Fort Greene,8080357,Kathryn,Brooklyn,Fort Greene,40.69246,-73.97171,Private room,55,4,0,,,1,0
6968520,Entire Townhouse in Red Hook 2 unit,36537579,Amyt,Brooklyn,Red Hook,40.67819,-74.00924,Entire home/apt,500,1,0,,,1,0
6968737,Park Slope Brooklyn for July,36538690,Thomas,Brooklyn,South Slope,40.6648,-73.98044,Entire home/apt,224,4,1,2015-07-31,0.02,1,0
6969011,"BIG Beautiful private bedroom, 5 minutes to subway",107016,Grace,Brooklyn,Crown Heights,40.67618,-73.95133,Private room,47,14,9,2019-04-04,0.19,1,8
6969425,Large Room w/ personal Bath in Bed-Wick Near All!,12906455,Jennifer,Brooklyn,Bedford-Stuyvesant,40.69467,-73.93333,Private room,61,2,29,2019-06-22,0.59,1,5
6969473,SOHO GEM 2750 SQ FT,30247261,Nima,Manhattan,Little Italy,40.72039,-73.99683,Entire home/apt,999,7,1,2015-12-27,0.02,1,0
6970005,"Artist home, Greenwich Village, NYC",23026033,Charlotte,Manhattan,Greenwich Village,40.73104,-73.99708,Entire home/apt,230,7,1,2015-09-19,0.02,1,0
6970372,*RAZZMATAZZ* Upper East Side 2 Bedroom,25237492,Juliana,Manhattan,Upper East Side,40.76112,-73.9619,Entire home/apt,150,30,12,2018-11-14,0.27,34,298
6970776,*ESSENTIAL* Convenient Studio- Upper East Side!,25237492,Juliana,Manhattan,Upper East Side,40.76216,-73.96195,Entire home/apt,115,30,12,2019-05-02,0.26,34,331
6970965,"Cozy and Spacious, 1 Bedroom, Astoria",36551297,Sebastian,Queens,Astoria,40.76194,-73.91881,Private room,70,2,8,2016-12-23,0.16,1,0
6971141,Upper East Side 2 bedroom- close to Hospitals-,25237492,Juliana,Manhattan,Upper East Side,40.76222,-73.9603,Entire home/apt,325,30,2,2019-06-08,0.21,34,191
6971348,Close to East Side Hospitals- Modern 2 Bedroom Apt,25237492,Juliana,Manhattan,Upper East Side,40.76249,-73.96217,Entire home/apt,155,30,6,2019-01-31,0.14,34,295
6971639,ACADIA Spacious 2 Bedroom Apt - Close to Hospitals,25237492,Juliana,Manhattan,Upper East Side,40.76021,-73.96157,Entire home/apt,165,30,10,2018-11-18,0.22,34,346
6971750,*ENCHANTMENT* Upper East Side 2 bedroom- Sunny!,25237492,Juliana,Manhattan,Upper East Side,40.76244,-73.96031,Entire home/apt,165,30,9,2018-09-30,0.20,34,280
6971871,*JAMES* Amazing Spacious 2 Bedroom- Bright!,25237492,Juliana,Manhattan,Upper East Side,40.76035,-73.96133,Entire home/apt,155,30,8,2019-06-11,0.27,34,339
6972046,Large Private Upper West Side Room,23574544,Maxwell,Manhattan,Upper West Side,40.78567,-73.97665,Private room,150,1,7,2015-09-26,0.14,1,0
6972089,*ODYSSEY* Sunny 1 Bedroom Apt- Bright & Cheery!,25237492,Juliana,Manhattan,Upper West Side,40.78181,-73.98466,Entire home/apt,130,30,10,2019-04-01,0.26,34,303
6972192,*WINDSONG* Serene 1 BR in Townhouse near Park,25237492,Juliana,Manhattan,Upper West Side,40.78289,-73.98477,Entire home/apt,125,30,17,2019-06-17,0.38,34,202
6972271,"2BR Cozy, Large & Central Apartment",31213925,Philippe,Manhattan,Midtown,40.74462,-73.98272,Entire home/apt,150,2,0,,,1,0
6972534,Nice room in a super nice apartment,21803081,Terry,Brooklyn,Williamsburg,40.71591,-73.9417,Private room,55,7,2,2015-08-16,0.04,1,0
6972554,Nice 1 BR Apartment at Central Park,17155244,Drew,Manhattan,East Harlem,40.7984,-73.94777,Entire home/apt,155,4,4,2015-09-08,0.08,1,0
6972673,Spacious one bedroom with en-suite,13698410,Rawan,Brooklyn,Clinton Hill,40.69489,-73.96496,Private room,80,7,12,2017-06-25,0.25,1,0
6973011,Beautiful Large Private 1 Bd w/ Mediation Space,19247979,Neelam,Brooklyn,Flatbush,40.63488,-73.96546,Entire home/apt,85,3,0,,,1,0
6973159,Bed-stuy belle,4225192,Gaby,Brooklyn,Bedford-Stuyvesant,40.6936,-73.94653,Private room,40,1,1,2015-07-11,0.02,1,0
6973286,Private bedroom w/ roofdeck NO CLEANING FEE,12374283,Ryan,Manhattan,East Village,40.72297,-73.97973,Private room,99,3,12,2019-04-29,0.26,4,0
6973292,Book Now & Save: Spend July in New York City!,5577926,Lou,Queens,Astoria,40.76583,-73.91086,Private room,59,1,108,2019-06-06,2.23,4,0
6973463,"Penthouse Apt w/private roofdeck, NO cleaning fee",12374283,Ryan,Manhattan,East Village,40.72403,-73.97783,Entire home/apt,300,2,1,2017-11-26,0.05,4,0
6973598,Large bedroom in Astoria/LIC area,36566148,Felicia,Queens,Long Island City,40.75328,-73.92244,Private room,55,1,5,2015-07-28,0.10,1,0
6974249,Prime Williamsburg Location,6623402,Robert,Brooklyn,Williamsburg,40.7196,-73.95599,Entire home/apt,125,1,6,2016-08-28,0.13,1,0
6974728,"Private Room, Bath & Terrace on UWS",36571434,Zack,Manhattan,Upper West Side,40.80016,-73.96448,Private room,139,2,24,2018-06-22,0.50,1,20
6974801,"1BR with Roof, Balcony, best 'hood!",21175506,Peter,Brooklyn,Greenpoint,40.73006,-73.95694,Entire home/apt,165,1,1,2015-07-03,0.02,1,0
6975129,"Large room, cozy, 15min Manhattan",36575095,Hana,Brooklyn,Clinton Hill,40.68409,-73.96531,Private room,50,1,1,2015-07-03,0.02,1,0
6976045,Cozy apt in lively Carroll Gardens,1373836,Carlotta,Brooklyn,Carroll Gardens,40.68151,-73.99285,Entire home/apt,150,5,3,2016-12-27,0.06,1,0
6977204,Private Room in Very Convenient Location,687062,Sarah,Manhattan,Harlem,40.81398,-73.95213,Private room,65,1,142,2019-06-21,4.22,1,93
6982174,Room for rent shared bathroom,36610302,Eudelia,Brooklyn,Bedford-Stuyvesant,40.68682,-73.92019,Private room,50,1,0,,,1,0
6985434,*SKYTRAIN* Studio Loft Apartment - Great Space!,25237492,Juliana,Manhattan,Upper West Side,40.78201,-73.98379,Entire home/apt,120,30,9,2019-04-30,0.24,34,339
6985888,*TERRA GARDEN* 1 Bedroom Garden Apartment,25237492,Juliana,Manhattan,Upper West Side,40.7818,-73.98483,Entire home/apt,115,30,7,2018-10-31,0.19,34,325
6987811,Cozy Brooklyn Room W/ Skylight,23582893,Laramie,Brooklyn,Bushwick,40.69054,-73.91446,Private room,51,13,20,2019-06-26,0.41,8,14
6988265,Great for a family of 4!,36634420,Kobi,Manhattan,Washington Heights,40.85183,-73.94022,Entire home/apt,120,1,0,,,1,0
6988793,"Perfect for Cat, Book, Park Lovers!",13857446,Laura,Brooklyn,Flatbush,40.65371,-73.95623,Entire home/apt,90,2,12,2015-12-19,0.25,1,0
6988794,Private Room in large 2 bedroom apt,36641477,David,Queens,Forest Hills,40.724,-73.84962,Private room,75,3,1,2015-08-31,0.02,1,0
6988905,A Perfect Midtown Studio (24/hr Doorman),36133913,Matt,Manhattan,Midtown,40.7544,-73.97345,Entire home/apt,190,2,25,2018-11-19,0.51,1,4
6989258,Cozy Gem in Harlem Close to ALL!,7339760,Maritza,Manhattan,East Harlem,40.79243,-73.93952,Entire home/apt,130,2,1,2015-08-13,0.02,1,0
6989436,Spanish Harlem with terrace.,36644635,Ingrid,Manhattan,East Harlem,40.79229,-73.94962,Private room,80,2,142,2018-12-16,3.05,1,0
6990524,3BR Gramercy Apt in heart of NYC,36650631,Alissa,Manhattan,Kips Bay,40.73912,-73.9825,Entire home/apt,300,1,0,,,1,0
6991749,NO LONGER AVAILABLE,16978260,Dominque,Manhattan,Harlem,40.81161,-73.94306,Shared room,70,1,0,,,1,365
6991910,"Discount! Mins to SOHO -Cozy, Good Sized Bedroom",36656552,Kandee,Manhattan,Lower East Side,40.71947,-73.99327,Private room,150,1,2,2016-09-23,0.04,3,0
6992300,Tranquility On Riverside,24530713,Byron,Manhattan,Harlem,40.82416,-73.95306,Private room,75,1,11,2019-05-29,0.25,3,332
6992310,A Serene NYC Skyline Room w Breakfast!,18260299,Ota,Brooklyn,Bushwick,40.69347,-73.90703,Private room,50,30,2,2018-07-06,0.04,6,5
6992831,Big 1 Bedroom Brooklyn Ditmas Park,36663321,Mel,Brooklyn,Flatbush,40.63504,-73.96603,Private room,60,3,173,2019-06-25,3.52,1,281
6992939,"Beautiful Cute Studio, Fort Greene",1281637,Jessica,Brooklyn,Fort Greene,40.6873,-73.97225,Entire home/apt,140,2,1,2015-08-24,0.02,1,0
6992973,1 Bedroom in Prime Williamsburg,5162530,,Brooklyn,Williamsburg,40.71838,-73.9563,Entire home/apt,145,1,0,,,1,0
6993265,Huge Loft - Heart of Williamsburg,36666388,Gabriel,Brooklyn,Williamsburg,40.7166,-73.96379,Entire home/apt,375,2,0,,,1,0
6994064,The Most Efficient Efficiency Ever,35928174,Greg,Brooklyn,Williamsburg,40.70458,-73.94095,Entire home/apt,110,2,15,2019-07-01,0.31,1,12
6994259,Beautiful apartment in awesome Clinton Hill!,36673376,Xristina&Keith,Brooklyn,Bedford-Stuyvesant,40.69213,-73.95869,Entire home/apt,100,15,5,2019-05-20,0.26,1,24
6999056,Manhattan at its best! Trendy area,415502,Enrica,Manhattan,Harlem,40.80418,-73.95513,Private room,70,1,3,2015-08-21,0.06,1,0
7001872,Perfect UES; steps from Park Ave,36708202,Robert,Manhattan,Upper East Side,40.76425,-73.96811,Entire home/apt,195,7,26,2019-06-30,0.54,1,1
