Port Name,State,Port Code,Border,Date,Measure,Value
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Truck Containers Full,11772
Calais,ME,115,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,79
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,3713
Fort Fairfield,ME,107,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,982
Pembina,ND,3401,US-Canada Border,5/1/2018 00:00,Trucks,20069
Portal,ND,3403,US-Canada Border,5/1/2018 00:00,Trucks,8082
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Pedestrians,67551
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Bus Passengers,9360
Turner,MT,3306,US-Canada Border,5/1/2018 00:00,Truck Containers Full,47
Raymond,MT,3301,US-Canada Border,5/1/2018 00:00,Pedestrians,80
Eastport,ID,3302,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,554
Ambrose,ND,3410,US-Canada Border,5/1/2018 00:00,Truck Containers Full,57
Sherwood,ND,3414,US-Canada Border,5/1/2018 00:00,Truck Containers Full,194
Anacortes,WA,3010,US-Canada Border,5/1/2018 00:00,Personal Vehicles,2642
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Bus Passengers,10
Ketchikan,AK,3102,US-Canada Border,5/1/2018 00:00,Bus Passengers,18
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Trains,292
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,29468
Westhope,ND,3419,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1220
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Personal Vehicles,14867
Detroit,MI,3801,US-Canada Border,5/1/2018 00:00,Train Passengers,468
Trout River,NY,715,US-Canada Border,5/1/2018 00:00,Rail Containers Full,2134
Point Roberts,WA,3017,US-Canada Border,5/1/2018 00:00,Personal Vehicles,100742
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Trucks,2183
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Bus Passengers,4692
Portal,ND,3403,US-Canada Border,5/1/2018 00:00,Personal Vehicles,6173
Noonan,ND,3420,US-Canada Border,5/1/2018 00:00,Truck Containers Full,46
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Bus Passengers,10293
Madawaska,ME,109,US-Canada Border,5/1/2018 00:00,Trucks,248
Houlton,ME,106,US-Canada Border,5/1/2018 00:00,Trucks,7981
Del Bonita,MT,3322,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,4348
Laurier,WA,3016,US-Canada Border,5/1/2018 00:00,Train Passengers,10
Ogdensburg,NY,701,US-Canada Border,5/1/2018 00:00,Buses,15
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Trains,293
Roosville,MT,3318,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,26423
Houlton,ME,106,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,1777
St. John,ND,3405,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1931
Porthill,ID,3308,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,244
Presidio,TX,2403,US-Mexico Border,5/1/2018 00:00,Trucks,680
Alcan,AK,3104,US-Canada Border,5/1/2018 00:00,Truck Containers Full,134
Ferry,WA,3013,US-Canada Border,5/1/2018 00:00,Truck Containers Full,34
Santa Teresa,NM,2408,US-Mexico Border,5/1/2018 00:00,Trucks,10128
San Luis,AZ,2608,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,1415
Roosville,MT,3318,US-Canada Border,5/1/2018 00:00,Bus Passengers,28
Frontier,WA,3020,US-Canada Border,5/1/2018 00:00,Personal Vehicles,3750
Alexandria Bay,NY,708,US-Canada Border,5/1/2018 00:00,Bus Passengers,5798
Noonan,ND,3420,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,156
Jackman,ME,104,US-Canada Border,5/1/2018 00:00,Rail Containers Full,810
Sherwood,ND,3414,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,327
Lancaster,MN,3430,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,4310
Skagway,AK,3103,US-Canada Border,5/1/2018 00:00,Personal Vehicles,7262
Carbury,ND,3421,US-Canada Border,5/1/2018 00:00,Trucks,73
Frontier,WA,3020,US-Canada Border,5/1/2018 00:00,Truck Containers Full,729
Opheim,MT,3317,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,414
International Falls-Ranier,MN,3604,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,405
Tecate,CA,2505,US-Mexico Border,5/1/2018 00:00,Pedestrians,70223
Calexico,CA,2503,US-Mexico Border,5/1/2018 00:00,Pedestrians,365418
Morgan,MT,3319,US-Canada Border,5/1/2018 00:00,Personal Vehicles,393
Eastport,ME,103,US-Canada Border,5/1/2018 00:00,Personal Vehicles,11460
Roma,TX,2310,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,134597
Dalton Cache,AK,3106,US-Canada Border,5/1/2018 00:00,Buses,4
Point Roberts,WA,3017,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,155340
Presidio,TX,2403,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,322
Massena,NY,704,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,860
Otay Mesa,CA,2506,US-Mexico Border,5/1/2018 00:00,Trains,18
Douglas,AZ,2601,US-Mexico Border,5/1/2018 00:00,Buses,201
Calais,ME,115,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,2238
International Falls-Ranier,MN,3604,US-Canada Border,5/1/2018 00:00,Train Passengers,712
Porthill,ID,3308,US-Canada Border,5/1/2018 00:00,Bus Passengers,27
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Trucks,27172
Hansboro,ND,3415,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1231
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,167
Presidio,TX,2403,US-Mexico Border,5/1/2018 00:00,Bus Passengers,161
Madawaska,ME,109,US-Canada Border,5/1/2018 00:00,Pedestrians,133
Beecher Falls,VT,206,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,697
Lukeville,AZ,2602,US-Mexico Border,5/1/2018 00:00,Trucks,27
Norton,VT,211,US-Canada Border,5/1/2018 00:00,Truck Containers Full,782
St. John,ND,3405,US-Canada Border,5/1/2018 00:00,Trucks,83
Lukeville,AZ,2602,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,25
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,453003
Rio Grande City,TX,2307,US-Mexico Border,5/1/2018 00:00,Trucks,3565
Carbury,ND,3421,US-Canada Border,5/1/2018 00:00,Personal Vehicles,897
San Luis,AZ,2608,US-Mexico Border,5/1/2018 00:00,Pedestrians,198102
El Paso,TX,2402,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,23915
Cape Vincent,NY,706,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1801
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Buses,990
Eastport,ID,3302,US-Canada Border,5/1/2018 00:00,Buses,8
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Truck Containers Full,1468
Porthill,ID,3308,US-Canada Border,5/1/2018 00:00,Personal Vehicles,12567
Portal,ND,3403,US-Canada Border,5/1/2018 00:00,Truck Containers Full,6505
Eastport,ID,3302,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,15786
Buffalo-Niagara Falls,NY,901,US-Canada Border,5/1/2018 00:00,Pedestrians,35187
Dalton Cache,AK,3106,US-Canada Border,5/1/2018 00:00,Trucks,123
Sarles,ND,3409,US-Canada Border,5/1/2018 00:00,Personal Vehicles,272
Brownsville,TX,2301,US-Mexico Border,5/1/2018 00:00,Trucks,21547
Houlton,ME,106,US-Canada Border,5/1/2018 00:00,Bus Passengers,836
Blaine,WA,3004,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,13162
Blaine,WA,3004,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,8588
Wildhorse,MT,3323,US-Canada Border,5/1/2018 00:00,Trucks,362
Fort Fairfield,ME,107,US-Canada Border,5/1/2018 00:00,Personal Vehicles,9312
Westhope,ND,3419,US-Canada Border,5/1/2018 00:00,Trucks,976
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Rail Containers Full,369
Progreso,TX,2309,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,240784
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Buses,212
Pembina,ND,3401,US-Canada Border,5/1/2018 00:00,Train Passengers,234
Roseau,MN,3426,US-Canada Border,5/1/2018 00:00,Personal Vehicles,3334
Danville,WA,3012,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,59
Sarles,ND,3409,US-Canada Border,5/1/2018 00:00,Bus Passengers,37
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Rail Containers Full,22337
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Rail Containers Full,2693
Maida,ND,3416,US-Canada Border,5/1/2018 00:00,Truck Containers Full,3
Roseau,MN,3426,US-Canada Border,5/1/2018 00:00,Bus Passengers,75
Porthill,ID,3308,US-Canada Border,5/1/2018 00:00,Pedestrians,19
Presidio,TX,2403,US-Mexico Border,5/1/2018 00:00,Pedestrians,17804
Bridgewater,ME,127,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,459
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Trains,36
Naco,AZ,2603,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,48305
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Trucks,15087
Presidio,TX,2403,US-Mexico Border,5/1/2018 00:00,Buses,97
Eastport,ME,103,US-Canada Border,5/1/2018 00:00,Truck Containers Full,102
Toledo-Sandusky,OH,4105,US-Canada Border,5/1/2018 00:00,Personal Vehicles,17
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Bus Passengers,26622
Douglas,AZ,2601,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,563
Walhalla,ND,3407,US-Canada Border,5/1/2018 00:00,Personal Vehicles,3376
Bridgewater,ME,127,US-Canada Border,5/1/2018 00:00,Trucks,1056
Hansboro,ND,3415,US-Canada Border,5/1/2018 00:00,Bus Passengers,49
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,258043
Eastport,ME,103,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,17682
Buffalo-Niagara Falls,NY,901,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,2940
Noonan,ND,3420,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,3796
Hansboro,ND,3415,US-Canada Border,5/1/2018 00:00,Trucks,5
Pembina,ND,3401,US-Canada Border,5/1/2018 00:00,Rail Containers Full,11931
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Buses,373
Otay Mesa,CA,2506,US-Mexico Border,5/1/2018 00:00,Buses,2148
Limestone,ME,118,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,137
